id_ticket,cantidad,producto,precio,total_producto
00B8DM,3,Pan Baguette,31.2,93.59
00B8DM,1,Pollo 1kg,123.24,123.24
00B8DM,1,Sartén antiadherente,352.0,352.0
00B8DM,1,Detergente 2kg,88.05,88.05
00B8DM,2,Leche 1L,25.15,50.3
00B8DM,1,Pollo 1kg,119.69,119.69
00B8DM,1,Audífonos,1522.42,1522.42
00B8DM,3,Pan Baguette,29.87,89.61
00B8DM,2,Huevos 12pz,76.15,152.29
00B8DM,2,Licuadora,794.72,1589.45
026FPZ,1,Refresco 2L,33.39,33.39
026FPZ,1,Audífonos,1451.79,1451.79
026FPZ,2,Pan Baguette,29.94,59.88
026FPZ,6,Huevos 12pz,83.64,501.83
026FPZ,1,Licuadora,785.17,785.17
026FPZ,1,Microondas,2004.39,2004.39
026FPZ,3,Pan Baguette,28.63,85.88
026FPZ,2,Refresco 2L,35.67,71.34
026FPZ,2,Sartén antiadherente,341.0,682.0
027GRW,1,Detergente 2kg,88.43,88.43
027GRW,1,Huevos 12pz,83.61,83.61
027GRW,2,Leche 1L,25.06,50.13
027GRW,3,Detergente 2kg,86.17,258.51
027GRW,3,Leche 1L,24.29,72.86
027GRW,1,Leche 1L,24.27,24.27
027GRW,2,Microondas,2013.07,4026.14
027GRW,2,Leche 1L,25.25,50.49
027GRW,1,Audífonos,1495.04,1495.04
027GRW,1,Refresco 2L,33.71,33.71
027GRW,2,Arroz 1kg,39.88,79.76
04IUR9,1,Audífonos,1541.71,1541.71
04IUR9,1,Microondas,1968.54,1968.54
04IUR9,3,Detergente 2kg,92.92,278.77
04IUR9,1,Detergente 2kg,91.62,91.62
04IUR9,3,Pollo 1kg,124.09,372.28
04IUR9,2,Pollo 1kg,114.19,228.39
04IUR9,1,Leche 1L,24.9,24.9
04IUR9,1,Pan Baguette,31.07,31.07
04IUR9,3,Arroz 1kg,40.67,122.0
04IUR9,2,Detergente 2kg,94.07,188.15
04IUR9,1,Leche 1L,24.63,24.63
04IUR9,1,Sartén antiadherente,341.4,341.4
04IUR9,3,Pollo 1kg,125.9,377.69
05ICV4,3,Huevos 12pz,82.49,247.47
05ICV4,2,Refresco 2L,34.04,68.09
05ICV4,5,Pollo 1kg,120.09,600.45
05ICV4,1,Refresco 2L,36.37,36.37
05ICV4,2,Leche 1L,24.59,49.18
05ICV4,1,Refresco 2L,35.41,35.41
05ICV4,3,Pan Baguette,28.77,86.31
05ICV4,6,Leche 1L,24.37,146.23
05ICV4,2,Huevos 12pz,78.86,157.71
05ICV4,2,Microondas,2014.11,4028.22
06WB1Z,2,Pan Baguette,29.27,58.55
06WB1Z,1,Pan Baguette,28.5,28.5
06WB1Z,3,Sartén antiadherente,361.97,1085.9
06WB1Z,1,Detergente 2kg,85.84,85.84
06WB1Z,2,Huevos 12pz,76.46,152.92
